score_id,user_id,quiz_id,score,total_marks,percentage,status,completed_at
128,12,118,20,20,100.00,Pass,NULL
134,13,124,17,20,85.00,Pass,NULL
135,13,125,19,20,95.00,Pass,NULL
138,13,128,18,20,90.00,Pass,NULL
139,13,129,15,20,75.00,Pass,NULL
141,14,131,18,20,90.00,Pass,NULL
142,14,132,15,20,75.00,Pass,NULL
147,14,137,19,20,95.00,Pass,NULL
148,14,138,16,20,80.00,Pass,NULL
149,14,139,16,20,80.00,Pass,NULL
151,15,141,19,20,95.00,Pass,NULL
152,15,142,17,20,85.00,Pass,NULL
154,15,144,17,20,85.00,Pass,NULL
159,15,149,16,20,80.00,Pass,NULL
160,15,150,15,20,75.00,Pass,NULL
162,16,152,20,20,100.00,Pass,NULL
166,16,156,18,20,90.00,Pass,NULL
168,16,158,20,20,100.00,Pass,NULL
169,16,159,18,20,90.00,Pass,NULL
171,17,161,17,20,85.00,Pass,NULL
175,17,165,17,20,85.00,Pass,NULL
176,17,166,15,20,75.00,Pass,NULL
177,17,167,16,20,80.00,Pass,NULL
179,17,169,16,20,80.00,Pass,NULL
181,18,171,18,20,90.00,Pass,NULL
182,18,172,19,20,95.00,Pass,NULL
184,18,174,18,20,90.00,Pass,NULL
185,18,175,16,20,80.00,Pass,NULL
186,18,176,20,20,100.00,Pass,NULL
188,18,178,20,20,100.00,Pass,NULL
189,18,179,18,20,90.00,Pass,NULL
195,19,185,15,20,75.00,Pass,NULL
197,19,187,19,20,95.00,Pass,NULL
198,19,188,19,20,95.00,Pass,NULL
200,19,190,16,20,80.00,Pass,NULL
201,20,191,20,20,100.00,Pass,NULL
203,20,193,16,20,80.00,Pass,NULL
205,20,195,18,20,90.00,Pass,NULL
207,20,197,18,20,90.00,Pass,NULL
208,20,198,16,20,80.00,Pass,NULL
209,20,199,17,20,85.00,Pass,NULL
213,21,203,20,20,100.00,Pass,NULL
215,21,205,16,20,80.00,Pass,NULL
216,21,206,20,20,100.00,Pass,NULL
217,21,207,16,20,80.00,Pass,NULL
219,21,209,17,20,85.00,Pass,NULL
221,22,211,15,20,75.00,Pass,NULL
225,22,215,20,20,100.00,Pass,NULL
230,22,220,17,20,85.00,Pass,NULL
233,23,223,19,20,95.00,Pass,NULL
234,23,224,15,20,75.00,Pass,NULL
236,23,226,20,20,100.00,Pass,NULL
237,23,227,16,20,80.00,Pass,NULL
238,23,228,20,20,100.00,Pass,NULL
241,24,231,18,20,90.00,Pass,NULL
242,24,232,15,20,75.00,Pass,NULL
243,24,233,16,20,80.00,Pass,NULL
246,24,236,16,20,80.00,Pass,NULL
247,24,237,17,20,85.00,Pass,NULL
250,24,240,16,20,80.00,Pass,NULL
251,25,241,20,20,100.00,Pass,NULL
252,25,242,19,20,95.00,Pass,NULL
253,25,243,19,20,95.00,Pass,NULL
255,25,245,19,20,95.00,Pass,NULL
258,25,248,18,20,90.00,Pass,NULL
259,25,249,18,20,90.00,Pass,NULL
261,26,251,15,20,75.00,Pass,NULL
262,26,252,16,20,80.00,Pass,NULL
263,26,253,15,20,75.00,Pass,NULL
270,26,260,17,20,85.00,Pass,NULL
271,27,261,16,20,80.00,Pass,NULL
273,27,263,17,20,85.00,Pass,NULL
277,27,267,19,20,95.00,Pass,NULL
278,27,268,18,20,90.00,Pass,NULL
285,28,275,16,20,80.00,Pass,NULL
288,28,278,18,20,90.00,Pass,NULL
289,28,279,15,20,75.00,Pass,NULL
291,29,281,16,20,80.00,Pass,NULL
293,29,283,19,20,95.00,Pass,NULL
294,29,284,17,20,85.00,Pass,NULL
295,29,285,17,20,85.00,Pass,NULL
296,29,286,15,20,75.00,Pass,NULL
298,29,288,20,20,100.00,Pass,NULL
299,29,289,15,20,75.00,Pass,NULL
300,29,290,20,20,100.00,Pass,NULL
305,30,295,18,20,90.00,Pass,NULL
310,30,300,15,20,75.00,Pass,NULL
311,31,301,19,20,95.00,Pass,NULL
313,31,303,18,20,90.00,Pass,NULL
314,31,304,18,20,90.00,Pass,NULL
315,31,305,18,20,90.00,Pass,NULL
319,31,309,19,20,95.00,Pass,NULL
321,32,311,20,20,100.00,Pass,NULL
326,32,316,16,20,80.00,Pass,NULL
327,32,317,15,20,75.00,Pass,NULL
332,33,322,15,20,75.00,Pass,NULL
335,33,325,15,20,75.00,Pass,NULL
336,33,326,20,20,100.00,Pass,NULL
337,33,327,16,20,80.00,Pass,NULL
340,33,330,18,20,90.00,Pass,NULL
341,34,331,16,20,80.00,Pass,NULL
344,34,334,20,20,100.00,Pass,NULL
348,34,338,15,20,75.00,Pass,NULL
349,34,339,15,20,75.00,Pass,NULL
358,35,348,20,20,100.00,Pass,NULL
359,35,349,20,20,100.00,Pass,NULL
360,35,350,15,20,75.00,Pass,NULL
363,36,353,19,20,95.00,Pass,NULL
364,36,354,19,20,95.00,Pass,NULL
365,36,355,20,20,100.00,Pass,NULL
366,36,356,16,20,80.00,Pass,NULL
367,36,357,18,20,90.00,Pass,NULL
368,36,358,19,20,95.00,Pass,NULL
369,36,359,15,20,75.00,Pass,NULL
375,37,365,17,20,85.00,Pass,NULL
376,37,366,19,20,95.00,Pass,NULL
377,37,367,16,20,80.00,Pass,NULL
379,37,369,19,20,95.00,Pass,NULL
383,38,373,17,20,85.00,Pass,NULL
384,38,374,15,20,75.00,Pass,NULL
385,38,375,16,20,80.00,Pass,NULL
386,38,376,16,20,80.00,Pass,NULL
389,38,379,16,20,80.00,Pass,NULL
393,39,383,17,20,85.00,Pass,NULL
395,39,385,18,20,90.00,Pass,NULL
399,39,389,17,20,85.00,Pass,NULL
401,40,391,17,20,85.00,Pass,NULL
402,40,392,17,20,85.00,Pass,NULL
404,40,394,17,20,85.00,Pass,NULL
407,40,397,18,20,90.00,Pass,NULL
408,40,398,17,20,85.00,Pass,NULL
409,40,399,17,20,85.00,Pass,NULL
410,40,400,16,20,80.00,Pass,NULL
414,41,404,18,20,90.00,Pass,NULL
415,41,405,19,20,95.00,Pass,NULL
421,42,411,18,20,90.00,Pass,NULL
422,42,412,18,20,90.00,Pass,NULL
424,42,414,15,20,75.00,Pass,NULL
426,42,416,20,20,100.00,Pass,NULL
429,42,419,15,20,75.00,Pass,NULL
430,42,420,17,20,85.00,Pass,NULL
431,43,421,17,20,85.00,Pass,NULL
434,43,424,16,20,80.00,Pass,NULL
436,43,426,16,20,80.00,Pass,NULL
445,44,435,15,20,75.00,Pass,NULL
446,44,436,16,20,80.00,Pass,NULL
447,44,437,19,20,95.00,Pass,NULL
449,44,439,17,20,85.00,Pass,NULL
450,44,440,20,20,100.00,Pass,NULL
451,45,441,18,20,90.00,Pass,NULL
452,45,442,16,20,80.00,Pass,NULL
454,45,444,18,20,90.00,Pass,NULL
455,45,445,16,20,80.00,Pass,NULL
457,45,447,18,20,90.00,Pass,NULL
463,46,453,19,20,95.00,Pass,NULL
464,46,454,16,20,80.00,Pass,NULL
468,46,458,17,20,85.00,Pass,NULL
470,46,460,19,20,95.00,Pass,NULL
473,47,463,18,20,90.00,Pass,NULL
474,47,464,18,20,90.00,Pass,NULL
476,47,466,16,20,80.00,Pass,NULL
477,47,467,15,20,75.00,Pass,NULL
481,48,471,18,20,90.00,Pass,NULL
487,48,477,20,20,100.00,Pass,NULL
489,48,479,18,20,90.00,Pass,NULL
492,49,482,19,20,95.00,Pass,NULL
493,49,483,15,20,75.00,Pass,NULL
494,49,484,16,20,80.00,Pass,NULL
495,49,485,19,20,95.00,Pass,NULL
497,49,487,16,20,80.00,Pass,NULL
501,50,491,19,20,95.00,Pass,NULL
503,50,493,16,20,80.00,Pass,NULL
506,50,496,17,20,85.00,Pass,NULL
507,50,497,16,20,80.00,Pass,NULL
514,51,504,20,20,100.00,Pass,NULL
518,51,508,18,20,90.00,Pass,NULL
520,51,510,18,20,90.00,Pass,NULL
523,52,513,20,20,100.00,Pass,NULL
524,52,514,16,20,80.00,Pass,NULL
526,52,516,17,20,85.00,Pass,NULL
527,52,517,19,20,95.00,Pass,NULL
531,53,521,20,20,100.00,Pass,NULL
532,53,522,20,20,100.00,Pass,NULL
537,53,527,19,20,95.00,Pass,NULL
539,53,529,20,20,100.00,Pass,NULL
541,54,531,20,20,100.00,Pass,NULL
542,54,532,18,20,90.00,Pass,NULL
543,54,533,19,20,95.00,Pass,NULL
544,54,534,20,20,100.00,Pass,NULL
548,54,538,20,20,100.00,Pass,NULL
549,54,539,19,20,95.00,Pass,NULL
553,55,543,15,20,75.00,Pass,NULL
556,55,546,15,20,75.00,Pass,NULL
559,55,549,20,20,100.00,Pass,NULL
563,56,553,18,20,90.00,Pass,NULL
569,56,559,20,20,100.00,Pass,NULL
572,57,562,18,20,90.00,Pass,NULL
573,57,563,16,20,80.00,Pass,NULL
575,57,565,18,20,90.00,Pass,NULL
576,57,566,16,20,80.00,Pass,NULL
582,58,572,17,20,85.00,Pass,NULL
586,58,576,17,20,85.00,Pass,NULL
589,58,579,19,20,95.00,Pass,NULL
590,58,580,20,20,100.00,Pass,NULL
593,59,583,17,20,85.00,Pass,NULL
594,59,584,16,20,80.00,Pass,NULL
597,59,587,17,20,85.00,Pass,NULL
601,60,591,19,20,95.00,Pass,NULL
604,60,594,16,20,80.00,Pass,NULL
605,60,595,20,20,100.00,Pass,NULL
606,60,596,16,20,80.00,Pass,NULL
607,60,597,18,20,90.00,Pass,NULL
608,60,598,19,20,95.00,Pass,NULL
609,60,599,19,20,95.00,Pass,NULL
610,60,600,19,20,95.00,Pass,NULL
611,61,601,18,20,90.00,Pass,NULL
616,61,606,18,20,90.00,Pass,NULL
618,61,608,17,20,85.00,Pass,NULL
620,61,610,18,20,90.00,Pass,NULL
622,62,612,19,20,95.00,Pass,NULL
624,62,614,16,20,80.00,Pass,NULL
626,62,616,18,20,90.00,Pass,NULL
630,62,620,19,20,95.00,Pass,NULL
632,63,622,16,20,80.00,Pass,NULL
636,63,626,18,20,90.00,Pass,NULL
638,63,628,18,20,90.00,Pass,NULL
639,63,629,19,20,95.00,Pass,NULL
641,64,631,17,20,85.00,Pass,NULL
642,64,632,17,20,85.00,Pass,NULL
645,64,635,16,20,80.00,Pass,NULL
651,65,641,20,20,100.00,Pass,NULL
652,65,642,17,20,85.00,Pass,NULL
653,65,643,17,20,85.00,Pass,NULL
654,65,644,18,20,90.00,Pass,NULL
656,65,646,15,20,75.00,Pass,NULL
657,65,647,15,20,75.00,Pass,NULL
658,65,648,15,20,75.00,Pass,NULL
659,65,649,18,20,90.00,Pass,NULL
661,66,651,16,20,80.00,Pass,NULL
662,66,652,15,20,75.00,Pass,NULL
663,66,653,20,20,100.00,Pass,NULL
664,66,654,20,20,100.00,Pass,NULL
665,66,655,19,20,95.00,Pass,NULL
667,66,657,18,20,90.00,Pass,NULL
670,66,660,16,20,80.00,Pass,NULL
671,67,661,18,20,90.00,Pass,NULL
672,67,662,18,20,90.00,Pass,NULL
673,67,663,17,20,85.00,Pass,NULL
676,67,666,20,20,100.00,Pass,NULL
678,67,668,18,20,90.00,Pass,NULL
681,68,671,20,20,100.00,Pass,NULL
687,68,677,15,20,75.00,Pass,NULL
688,68,678,17,20,85.00,Pass,NULL
689,68,679,20,20,100.00,Pass,NULL
691,69,681,15,20,75.00,Pass,NULL
693,69,683,18,20,90.00,Pass,NULL
694,69,684,17,20,85.00,Pass,NULL
696,69,686,19,20,95.00,Pass,NULL
697,69,687,19,20,95.00,Pass,NULL
699,69,689,15,20,75.00,Pass,NULL
703,70,693,18,20,90.00,Pass,NULL
704,70,694,19,20,95.00,Pass,NULL
706,70,696,20,20,100.00,Pass,NULL
707,70,697,20,20,100.00,Pass,NULL
709,70,699,20,20,100.00,Pass,NULL
713,71,703,20,20,100.00,Pass,NULL
714,71,704,19,20,95.00,Pass,NULL
715,71,705,16,20,80.00,Pass,NULL
716,71,706,15,20,75.00,Pass,NULL
718,71,708,16,20,80.00,Pass,NULL
721,72,711,15,20,75.00,Pass,NULL
723,72,713,20,20,100.00,Pass,NULL
724,72,714,15,20,75.00,Pass,NULL
725,72,715,18,20,90.00,Pass,NULL
726,72,716,16,20,80.00,Pass,NULL
727,72,717,16,20,80.00,Pass,NULL
728,72,718,17,20,85.00,Pass,NULL
730,72,720,20,20,100.00,Pass,NULL
731,73,721,15,20,75.00,Pass,NULL
732,73,722,17,20,85.00,Pass,NULL
733,73,723,19,20,95.00,Pass,NULL
734,73,724,16,20,80.00,Pass,NULL
736,73,726,16,20,80.00,Pass,NULL
737,73,727,15,20,75.00,Pass,NULL
739,73,729,19,20,95.00,Pass,NULL
740,73,730,15,20,75.00,Pass,NULL
741,74,731,15,20,75.00,Pass,NULL
743,74,733,20,20,100.00,Pass,NULL
745,74,735,18,20,90.00,Pass,NULL
747,74,737,20,20,100.00,Pass,NULL
748,74,738,20,20,100.00,Pass,NULL
749,74,739,16,20,80.00,Pass,NULL
750,74,740,15,20,75.00,Pass,NULL
751,75,741,18,20,90.00,Pass,NULL
754,75,744,15,20,75.00,Pass,NULL
756,75,746,19,20,95.00,Pass,NULL
762,76,752,16,20,80.00,Pass,NULL
768,76,758,19,20,95.00,Pass,NULL
770,76,760,19,20,95.00,Pass,NULL
776,77,766,16,20,80.00,Pass,NULL
777,77,767,15,20,75.00,Pass,NULL
783,78,773,20,20,100.00,Pass,NULL
784,78,774,17,20,85.00,Pass,NULL
785,78,775,19,20,95.00,Pass,NULL
787,78,777,20,20,100.00,Pass,NULL
788,78,778,17,20,85.00,Pass,NULL
790,78,780,15,20,75.00,Pass,NULL
794,79,784,20,20,100.00,Pass,NULL
797,79,787,16,20,80.00,Pass,NULL
798,79,788,19,20,95.00,Pass,NULL
799,79,789,19,20,95.00,Pass,NULL
800,79,790,16,20,80.00,Pass,NULL
801,80,791,20,20,100.00,Pass,NULL
802,80,792,17,20,85.00,Pass,NULL
804,80,794,15,20,75.00,Pass,NULL
808,80,798,15,20,75.00,Pass,NULL
812,81,802,18,20,90.00,Pass,NULL
813,81,803,18,20,90.00,Pass,NULL
814,81,804,20,20,100.00,Pass,NULL
816,81,806,19,20,95.00,Pass,NULL
818,81,808,15,20,75.00,Pass,NULL
820,81,810,17,20,85.00,Pass,NULL
821,82,811,16,20,80.00,Pass,NULL
824,82,814,17,20,85.00,Pass,NULL
825,82,815,17,20,85.00,Pass,NULL
826,82,816,18,20,90.00,Pass,NULL
829,82,819,18,20,90.00,Pass,NULL
832,83,822,15,20,75.00,Pass,NULL
839,83,829,15,20,75.00,Pass,NULL
842,84,832,20,20,100.00,Pass,NULL
845,84,835,20,20,100.00,Pass,NULL
849,84,839,15,20,75.00,Pass,NULL
851,85,841,19,20,95.00,Pass,NULL
852,85,842,16,20,80.00,Pass,NULL
856,85,846,18,20,90.00,Pass,NULL
858,85,848,20,20,100.00,Pass,NULL
859,85,849,18,20,90.00,Pass,NULL
861,86,851,20,20,100.00,Pass,NULL
866,86,856,17,20,85.00,Pass,NULL
870,86,860,15,20,75.00,Pass,NULL
871,87,861,18,20,90.00,Pass,NULL
873,87,863,17,20,85.00,Pass,NULL
875,87,865,15,20,75.00,Pass,NULL
876,87,866,19,20,95.00,Pass,NULL
878,87,868,20,20,100.00,Pass,NULL
881,88,871,17,20,85.00,Pass,NULL
882,88,872,17,20,85.00,Pass,NULL
883,88,873,19,20,95.00,Pass,NULL
884,88,874,19,20,95.00,Pass,NULL
886,88,876,20,20,100.00,Pass,NULL
890,88,880,17,20,85.00,Pass,NULL
893,89,883,17,20,85.00,Pass,NULL
894,89,884,18,20,90.00,Pass,NULL
897,89,887,19,20,95.00,Pass,NULL
900,89,890,17,20,85.00,Pass,NULL
901,90,891,19,20,95.00,Pass,NULL
902,90,892,18,20,90.00,Pass,NULL
905,90,895,19,20,95.00,Pass,NULL
906,90,896,20,20,100.00,Pass,NULL
908,90,898,18,20,90.00,Pass,NULL
909,90,899,17,20,85.00,Pass,NULL
910,90,900,20,20,100.00,Pass,NULL
912,91,902,20,20,100.00,Pass,NULL
913,91,903,17,20,85.00,Pass,NULL
914,91,904,20,20,100.00,Pass,NULL
917,91,907,16,20,80.00,Pass,NULL
919,91,909,18,20,90.00,Pass,NULL
922,92,912,16,20,80.00,Pass,NULL
923,92,913,18,20,90.00,Pass,NULL
927,92,917,15,20,75.00,Pass,NULL
931,93,921,18,20,90.00,Pass,NULL
932,93,922,15,20,75.00,Pass,NULL
933,93,923,19,20,95.00,Pass,NULL
937,93,927,19,20,95.00,Pass,NULL
938,93,928,16,20,80.00,Pass,NULL
939,93,929,18,20,90.00,Pass,NULL
941,94,931,17,20,85.00,Pass,NULL
942,94,932,20,20,100.00,Pass,NULL
943,94,933,16,20,80.00,Pass,NULL
944,94,934,20,20,100.00,Pass,NULL
945,94,935,15,20,75.00,Pass,NULL
946,94,936,15,20,75.00,Pass,NULL
948,94,938,19,20,95.00,Pass,NULL
949,94,939,17,20,85.00,Pass,NULL
955,95,945,15,20,75.00,Pass,NULL
957,95,947,20,20,100.00,Pass,NULL
958,95,948,15,20,75.00,Pass,NULL
959,95,949,17,20,85.00,Pass,NULL
960,95,950,17,20,85.00,Pass,NULL
961,96,951,18,20,90.00,Pass,NULL
965,96,955,15,20,75.00,Pass,NULL
968,96,958,15,20,75.00,Pass,NULL
971,97,961,20,20,100.00,Pass,NULL
975,97,965,17,20,85.00,Pass,NULL
976,97,966,19,20,95.00,Pass,NULL
978,97,968,16,20,80.00,Pass,NULL
980,97,970,16,20,80.00,Pass,NULL
984,98,974,19,20,95.00,Pass,NULL
986,98,976,15,20,75.00,Pass,NULL
987,98,977,16,20,80.00,Pass,NULL
988,98,978,20,20,100.00,Pass,NULL
990,98,980,19,20,95.00,Pass,NULL
991,99,981,15,20,75.00,Pass,NULL
992,99,982,18,20,90.00,Pass,NULL
993,99,983,19,20,95.00,Pass,NULL
994,99,984,15,20,75.00,Pass,NULL
995,99,985,15,20,75.00,Pass,NULL
996,99,986,20,20,100.00,Pass,NULL
1002,100,992,19,20,95.00,Pass,NULL
1005,100,995,18,20,90.00,Pass,NULL
1006,100,996,17,20,85.00,Pass,NULL
1008,100,998,15,20,75.00,Pass,NULL
1009,100,999,16,20,80.00,Pass,NULL
1010,100,1000,16,20,80.00,Pass,NULL
1013,101,1003,19,20,95.00,Pass,NULL
1014,101,1004,16,20,80.00,Pass,NULL
1017,101,1007,19,20,95.00,Pass,NULL
1018,101,1008,15,20,75.00,Pass,NULL
1024,102,1014,19,20,95.00,Pass,NULL
1028,102,1018,19,20,95.00,Pass,NULL
1029,102,1019,16,20,80.00,Pass,NULL
1030,102,1020,20,20,100.00,Pass,NULL
1031,103,1021,19,20,95.00,Pass,NULL
1035,103,1025,19,20,95.00,Pass,NULL
1036,103,1026,15,20,75.00,Pass,NULL
1038,103,1028,19,20,95.00,Pass,NULL
1039,103,1029,17,20,85.00,Pass,NULL
1040,103,1030,20,20,100.00,Pass,NULL
1041,104,1031,16,20,80.00,Pass,NULL
1042,104,1032,17,20,85.00,Pass,NULL
1052,105,1042,19,20,95.00,Pass,NULL
1053,105,1043,16,20,80.00,Pass,NULL
1058,105,1048,16,20,80.00,Pass,NULL
1060,105,1050,19,20,95.00,Pass,NULL
1062,106,1052,18,20,90.00,Pass,NULL
1063,106,1053,20,20,100.00,Pass,NULL
1064,106,1054,15,20,75.00,Pass,NULL
1067,106,1057,17,20,85.00,Pass,NULL
1069,106,1059,15,20,75.00,Pass,NULL
1070,106,1060,15,20,75.00,Pass,NULL
1071,107,1061,15,20,75.00,Pass,NULL
1076,107,1066,15,20,75.00,Pass,NULL
1080,107,1070,15,20,75.00,Pass,NULL
1082,108,1072,17,20,85.00,Pass,NULL
1083,108,1073,18,20,90.00,Pass,NULL
1084,108,1074,18,20,90.00,Pass,NULL
1088,108,1078,20,20,100.00,Pass,NULL
1089,108,1079,17,20,85.00,Pass,NULL
1094,109,1084,16,20,80.00,Pass,NULL
1095,109,1085,20,20,100.00,Pass,NULL
1097,109,1087,17,20,85.00,Pass,NULL
1098,109,1088,17,20,85.00,Pass,NULL
1099,109,1089,20,20,100.00,Pass,NULL
1100,109,1090,17,20,85.00,Pass,NULL
1102,110,1092,20,20,100.00,Pass,NULL
1103,110,1093,16,20,80.00,Pass,NULL
1105,110,1095,15,20,75.00,Pass,NULL
1106,110,1096,15,20,75.00,Pass,NULL
1108,110,1098,17,20,85.00,Pass,NULL
1111,111,1101,17,20,85.00,Pass,NULL
1112,111,1102,17,20,85.00,Pass,NULL
1114,111,1104,17,20,85.00,Pass,NULL
1115,111,1105,19,20,95.00,Pass,NULL
1117,111,1107,20,20,100.00,Pass,NULL
1119,111,1109,18,20,90.00,Pass,NULL
1122,112,1112,18,20,90.00,Pass,NULL
1127,112,1117,16,20,80.00,Pass,NULL
1132,113,1122,15,20,75.00,Pass,NULL
1133,113,1123,19,20,95.00,Pass,NULL
1134,113,1124,17,20,85.00,Pass,NULL
1135,113,1125,15,20,75.00,Pass,NULL
1140,113,1130,19,20,95.00,Pass,NULL
1142,114,1132,19,20,95.00,Pass,NULL
1143,114,1133,15,20,75.00,Pass,NULL
1145,114,1135,18,20,90.00,Pass,NULL
1148,114,1138,20,20,100.00,Pass,NULL
1149,114,1139,20,20,100.00,Pass,NULL
1150,114,1140,18,20,90.00,Pass,NULL
1151,115,1141,17,20,85.00,Pass,NULL
1152,115,1142,18,20,90.00,Pass,NULL
1153,115,1143,20,20,100.00,Pass,NULL
1157,115,1147,16,20,80.00,Pass,NULL
1159,115,1149,18,20,90.00,Pass,NULL
1166,116,1156,20,20,100.00,Pass,NULL
1168,116,1158,17,20,85.00,Pass,NULL
1169,116,1159,19,20,95.00,Pass,NULL
1170,116,1160,17,20,85.00,Pass,NULL
1172,117,1162,15,20,75.00,Pass,NULL
1174,117,1164,15,20,75.00,Pass,NULL
1175,117,1165,19,20,95.00,Pass,NULL
1177,117,1167,19,20,95.00,Pass,NULL
1180,117,1170,16,20,80.00,Pass,NULL
1181,118,1171,16,20,80.00,Pass,NULL
1182,118,1172,15,20,75.00,Pass,NULL
1183,118,1173,15,20,75.00,Pass,NULL
1185,118,1175,17,20,85.00,Pass,NULL
1188,118,1178,19,20,95.00,Pass,NULL
1190,118,1180,17,20,85.00,Pass,NULL
1195,119,1185,18,20,90.00,Pass,NULL
1196,119,1186,17,20,85.00,Pass,NULL
1197,119,1187,17,20,85.00,Pass,NULL
1199,119,1189,20,20,100.00,Pass,NULL
1200,119,1190,18,20,90.00,Pass,NULL
1202,120,1192,17,20,85.00,Pass,NULL
1204,120,1194,20,20,100.00,Pass,NULL
1205,120,1195,20,20,100.00,Pass,NULL
1207,120,1197,15,20,75.00,Pass,NULL
1208,120,1198,16,20,80.00,Pass,NULL
1209,120,1199,18,20,90.00,Pass,NULL
1210,120,1200,15,20,75.00,Pass,NULL
1213,121,1203,17,20,85.00,Pass,NULL
1215,121,1205,18,20,90.00,Pass,NULL
1216,121,1206,15,20,75.00,Pass,NULL
1218,121,1208,15,20,75.00,Pass,NULL
1223,122,1213,18,20,90.00,Pass,NULL
1228,122,1218,19,20,95.00,Pass,NULL
1229,122,1219,15,20,75.00,Pass,NULL
1231,123,1221,18,20,90.00,Pass,NULL
1233,123,1223,20,20,100.00,Pass,NULL
1234,123,1224,16,20,80.00,Pass,NULL
1236,123,1226,15,20,75.00,Pass,NULL
1242,124,1232,20,20,100.00,Pass,NULL
1244,124,1234,16,20,80.00,Pass,NULL
1246,124,1236,18,20,90.00,Pass,NULL
1247,124,1237,16,20,80.00,Pass,NULL
1248,124,1238,15,20,75.00,Pass,NULL
1252,125,1242,16,20,80.00,Pass,NULL
1254,125,1244,17,20,85.00,Pass,NULL
1255,125,1245,20,20,100.00,Pass,NULL
1256,125,1246,15,20,75.00,Pass,NULL
1257,125,1247,18,20,90.00,Pass,NULL
1258,125,1248,15,20,75.00,Pass,NULL
1259,125,1249,20,20,100.00,Pass,NULL
1263,126,1253,16,20,80.00,Pass,NULL
1266,126,1256,15,20,75.00,Pass,NULL
1267,126,1257,19,20,95.00,Pass,NULL
1268,126,1258,15,20,75.00,Pass,NULL
1271,127,1261,18,20,90.00,Pass,NULL
1272,127,1262,17,20,85.00,Pass,NULL
1273,127,1263,20,20,100.00,Pass,NULL
1275,127,1265,19,20,95.00,Pass,NULL
1278,127,1268,16,20,80.00,Pass,NULL
1280,127,1270,16,20,80.00,Pass,NULL
1285,128,1275,15,20,75.00,Pass,NULL
1287,128,1277,18,20,90.00,Pass,NULL
1289,128,1279,15,20,75.00,Pass,NULL
1290,128,1280,19,20,95.00,Pass,NULL
1292,129,1282,16,20,80.00,Pass,NULL
1293,129,1283,19,20,95.00,Pass,NULL
1296,129,1286,15,20,75.00,Pass,NULL
1297,129,1287,15,20,75.00,Pass,NULL
1299,129,1289,15,20,75.00,Pass,NULL
1300,129,1290,16,20,80.00,Pass,NULL
1304,130,1294,17,20,85.00,Pass,NULL
1305,130,1295,16,20,80.00,Pass,NULL
1306,130,1296,19,20,95.00,Pass,NULL
1310,130,1300,20,20,100.00,Pass,NULL
1311,131,1301,20,20,100.00,Pass,NULL
1314,131,1304,20,20,100.00,Pass,NULL
1315,131,1305,16,20,80.00,Pass,NULL
