course_id,module_title,module_order
96,Fundamentals - Course 96,2
96,Intermediate Concepts - Course 96,3
96,Advanced Concepts - Course 96,4
96,Projects & Assessment - Course 96,5
97,Introduction - Course 97,1
97,Fundamentals - Course 97,2
97,Intermediate Concepts - Course 97,3
97,Advanced Concepts - Course 97,4
97,Projects & Assessment - Course 97,5
98,Introduction - Course 98,1
98,Fundamentals - Course 98,2
98,Intermediate Concepts - Course 98,3
98,Advanced Concepts - Course 98,4
98,Projects & Assessment - Course 98,5
99,Introduction - Course 99,1
99,Fundamentals - Course 99,2
99,Intermediate Concepts - Course 99,3
99,Advanced Concepts - Course 99,4
99,Projects & Assessment - Course 99,5
100,Introduction - Course 100,1
100,Fundamentals - Course 100,2
100,Intermediate Concepts - Course 100,3
100,Advanced Concepts - Course 100,4
100,Projects & Assessment - Course 100,5
