module_id,topic_title,topic_order
24,Advanced Concepts: Core Concepts (Course 5),2
24,Advanced Concepts: Hands-on Practice (Course 5),3
24,Advanced Concepts: Mini Project (Course 5),4
25,Projects & Assessment: Overview (Course 5),1
25,Projects & Assessment: Core Concepts (Course 5),2
25,Projects & Assessment: Hands-on Practice (Course 5),3
25,Projects & Assessment: Mini Project (Course 5),4
26,Introduction: Overview (Course 6),1
26,Introduction: Core Concepts (Course 6),2
26,Introduction: Hands-on Practice (Course 6),3
26,Introduction: Mini Project (Course 6),4
27,Fundamentals: Overview (Course 6),1
27,Fundamentals: Core Concepts (Course 6),2
27,Fundamentals: Hands-on Practice (Course 6),3
27,Fundamentals: Mini Project (Course 6),4
28,Intermediate Concepts: Overview (Course 6),1
28,Intermediate Concepts: Core Concepts (Course 6),2
28,Intermediate Concepts: Hands-on Practice (Course 6),3
28,Intermediate Concepts: Mini Project (Course 6),4
29,Advanced Concepts: Overview (Course 6),1
29,Advanced Concepts: Core Concepts (Course 6),2
29,Advanced Concepts: Hands-on Practice (Course 6),3
29,Advanced Concepts: Mini Project (Course 6),4
30,Projects & Assessment: Overview (Course 6),1
30,Projects & Assessment: Core Concepts (Course 6),2
30,Projects & Assessment: Hands-on Practice (Course 6),3
30,Projects & Assessment: Mini Project (Course 6),4
31,Introduction: Overview (Course 7),1
31,Introduction: Core Concepts (Course 7),2
31,Introduction: Hands-on Practice (Course 7),3
31,Introduction: Mini Project (Course 7),4
32,Fundamentals: Overview (Course 7),1
32,Fundamentals: Core Concepts (Course 7),2
32,Fundamentals: Hands-on Practice (Course 7),3
32,Fundamentals: Mini Project (Course 7),4
33,Intermediate Concepts: Overview (Course 7),1
33,Intermediate Concepts: Core Concepts (Course 7),2
33,Intermediate Concepts: Hands-on Practice (Course 7),3
33,Intermediate Concepts: Mini Project (Course 7),4
34,Advanced Concepts: Overview (Course 7),1
34,Advanced Concepts: Core Concepts (Course 7),2
34,Advanced Concepts: Hands-on Practice (Course 7),3
34,Advanced Concepts: Mini Project (Course 7),4
35,Projects & Assessment: Overview (Course 7),1
35,Projects & Assessment: Core Concepts (Course 7),2
35,Projects & Assessment: Hands-on Practice (Course 7),3
35,Projects & Assessment: Mini Project (Course 7),4
36,Introduction: Overview (Course 8),1
36,Introduction: Core Concepts (Course 8),2
36,Introduction: Hands-on Practice (Course 8),3
36,Introduction: Mini Project (Course 8),4
37,Fundamentals: Overview (Course 8),1
37,Fundamentals: Core Concepts (Course 8),2
37,Fundamentals: Hands-on Practice (Course 8),3
37,Fundamentals: Mini Project (Course 8),4
38,Intermediate Concepts: Overview (Course 8),1
38,Intermediate Concepts: Core Concepts (Course 8),2
38,Intermediate Concepts: Hands-on Practice (Course 8),3
38,Intermediate Concepts: Mini Project (Course 8),4
39,Advanced Concepts: Overview (Course 8),1
39,Advanced Concepts: Core Concepts (Course 8),2
39,Advanced Concepts: Hands-on Practice (Course 8),3
39,Advanced Concepts: Mini Project (Course 8),4
40,Projects & Assessment: Overview (Course 8),1
40,Projects & Assessment: Core Concepts (Course 8),2
40,Projects & Assessment: Hands-on Practice (Course 8),3
40,Projects & Assessment: Mini Project (Course 8),4
41,Introduction: Overview (Course 9),1
41,Introduction: Core Concepts (Course 9),2
41,Introduction: Hands-on Practice (Course 9),3
41,Introduction: Mini Project (Course 9),4
42,Fundamentals: Overview (Course 9),1
42,Fundamentals: Core Concepts (Course 9),2
42,Fundamentals: Hands-on Practice (Course 9),3
42,Fundamentals: Mini Project (Course 9),4
43,Intermediate Concepts: Overview (Course 9),1
43,Intermediate Concepts: Core Concepts (Course 9),2
43,Intermediate Concepts: Hands-on Practice (Course 9),3
43,Intermediate Concepts: Mini Project (Course 9),4
44,Advanced Concepts: Overview (Course 9),1
44,Advanced Concepts: Core Concepts (Course 9),2
44,Advanced Concepts: Hands-on Practice (Course 9),3
44,Advanced Concepts: Mini Project (Course 9),4
45,Projects & Assessment: Overview (Course 9),1
45,Projects & Assessment: Core Concepts (Course 9),2
45,Projects & Assessment: Hands-on Practice (Course 9),3
45,Projects & Assessment: Mini Project (Course 9),4
46,Introduction: Overview (Course 10),1
46,Introduction: Core Concepts (Course 10),2
46,Introduction: Hands-on Practice (Course 10),3
46,Introduction: Mini Project (Course 10),4
47,Fundamentals: Overview (Course 10),1
47,Fundamentals: Core Concepts (Course 10),2
47,Fundamentals: Hands-on Practice (Course 10),3
47,Fundamentals: Mini Project (Course 10),4
48,Intermediate Concepts: Overview (Course 10),1
48,Intermediate Concepts: Core Concepts (Course 10),2
48,Intermediate Concepts: Hands-on Practice (Course 10),3
48,Intermediate Concepts: Mini Project (Course 10),4
49,Advanced Concepts: Overview (Course 10),1
49,Advanced Concepts: Core Concepts (Course 10),2
49,Advanced Concepts: Hands-on Practice (Course 10),3
49,Advanced Concepts: Mini Project (Course 10),4
50,Projects & Assessment: Overview (Course 10),1
50,Projects & Assessment: Core Concepts (Course 10),2
50,Projects & Assessment: Hands-on Practice (Course 10),3
50,Projects & Assessment: Mini Project (Course 10),4
51,Introduction: Overview (Course 11),1
51,Introduction: Core Concepts (Course 11),2
51,Introduction: Hands-on Practice (Course 11),3
51,Introduction: Mini Project (Course 11),4
52,Fundamentals: Overview (Course 11),1
52,Fundamentals: Core Concepts (Course 11),2
52,Fundamentals: Hands-on Practice (Course 11),3
52,Fundamentals: Mini Project (Course 11),4
53,Intermediate Concepts: Overview (Course 11),1
53,Intermediate Concepts: Core Concepts (Course 11),2
53,Intermediate Concepts: Hands-on Practice (Course 11),3
53,Intermediate Concepts: Mini Project (Course 11),4
54,Advanced Concepts: Overview (Course 11),1
54,Advanced Concepts: Core Concepts (Course 11),2
54,Advanced Concepts: Hands-on Practice (Course 11),3
54,Advanced Concepts: Mini Project (Course 11),4
55,Projects & Assessment: Overview (Course 11),1
55,Projects & Assessment: Core Concepts (Course 11),2
55,Projects & Assessment: Hands-on Practice (Course 11),3
55,Projects & Assessment: Mini Project (Course 11),4
56,Introduction: Overview (Course 12),1
56,Introduction: Core Concepts (Course 12),2
56,Introduction: Hands-on Practice (Course 12),3
56,Introduction: Mini Project (Course 12),4
57,Fundamentals: Overview (Course 12),1
57,Fundamentals: Core Concepts (Course 12),2
57,Fundamentals: Hands-on Practice (Course 12),3
57,Fundamentals: Mini Project (Course 12),4
58,Intermediate Concepts: Overview (Course 12),1
58,Intermediate Concepts: Core Concepts (Course 12),2
58,Intermediate Concepts: Hands-on Practice (Course 12),3
58,Intermediate Concepts: Mini Project (Course 12),4
59,Advanced Concepts: Overview (Course 12),1
59,Advanced Concepts: Core Concepts (Course 12),2
59,Advanced Concepts: Hands-on Practice (Course 12),3
59,Advanced Concepts: Mini Project (Course 12),4
60,Projects & Assessment: Overview (Course 12),1
60,Projects & Assessment: Core Concepts (Course 12),2
60,Projects & Assessment: Hands-on Practice (Course 12),3
60,Projects & Assessment: Mini Project (Course 12),4
61,Introduction: Overview (Course 13),1
61,Introduction: Core Concepts (Course 13),2
61,Introduction: Hands-on Practice (Course 13),3
61,Introduction: Mini Project (Course 13),4
62,Fundamentals: Overview (Course 13),1
62,Fundamentals: Core Concepts (Course 13),2
62,Fundamentals: Hands-on Practice (Course 13),3
62,Fundamentals: Mini Project (Course 13),4
63,Intermediate Concepts: Overview (Course 13),1
63,Intermediate Concepts: Core Concepts (Course 13),2
63,Intermediate Concepts: Hands-on Practice (Course 13),3
63,Intermediate Concepts: Mini Project (Course 13),4
64,Advanced Concepts: Overview (Course 13),1
64,Advanced Concepts: Core Concepts (Course 13),2
64,Advanced Concepts: Hands-on Practice (Course 13),3
64,Advanced Concepts: Mini Project (Course 13),4
65,Projects & Assessment: Overview (Course 13),1
65,Projects & Assessment: Core Concepts (Course 13),2
65,Projects & Assessment: Hands-on Practice (Course 13),3
65,Projects & Assessment: Mini Project (Course 13),4
66,Introduction: Overview (Course 14),1
66,Introduction: Core Concepts (Course 14),2
66,Introduction: Hands-on Practice (Course 14),3
66,Introduction: Mini Project (Course 14),4
67,Fundamentals: Overview (Course 14),1
67,Fundamentals: Core Concepts (Course 14),2
67,Fundamentals: Hands-on Practice (Course 14),3
67,Fundamentals: Mini Project (Course 14),4
68,Intermediate Concepts: Overview (Course 14),1
68,Intermediate Concepts: Core Concepts (Course 14),2
68,Intermediate Concepts: Hands-on Practice (Course 14),3
68,Intermediate Concepts: Mini Project (Course 14),4
69,Advanced Concepts: Overview (Course 14),1
69,Advanced Concepts: Core Concepts (Course 14),2
69,Advanced Concepts: Hands-on Practice (Course 14),3
69,Advanced Concepts: Mini Project (Course 14),4
70,Projects & Assessment: Overview (Course 14),1
70,Projects & Assessment: Core Concepts (Course 14),2
70,Projects & Assessment: Hands-on Practice (Course 14),3
70,Projects & Assessment: Mini Project (Course 14),4
71,Introduction: Overview (Course 15),1
71,Introduction: Core Concepts (Course 15),2
71,Introduction: Hands-on Practice (Course 15),3
71,Introduction: Mini Project (Course 15),4
72,Fundamentals: Overview (Course 15),1
72,Fundamentals: Core Concepts (Course 15),2
72,Fundamentals: Hands-on Practice (Course 15),3
72,Fundamentals: Mini Project (Course 15),4
73,Intermediate Concepts: Overview (Course 15),1
73,Intermediate Concepts: Core Concepts (Course 15),2
73,Intermediate Concepts: Hands-on Practice (Course 15),3
73,Intermediate Concepts: Mini Project (Course 15),4
74,Advanced Concepts: Overview (Course 15),1
74,Advanced Concepts: Core Concepts (Course 15),2
74,Advanced Concepts: Hands-on Practice (Course 15),3
74,Advanced Concepts: Mini Project (Course 15),4
75,Projects & Assessment: Overview (Course 15),1
75,Projects & Assessment: Core Concepts (Course 15),2
75,Projects & Assessment: Hands-on Practice (Course 15),3
75,Projects & Assessment: Mini Project (Course 15),4
76,Introduction: Overview (Course 16),1
76,Introduction: Core Concepts (Course 16),2
76,Introduction: Hands-on Practice (Course 16),3
76,Introduction: Mini Project (Course 16),4
77,Fundamentals: Overview (Course 16),1
77,Fundamentals: Core Concepts (Course 16),2
77,Fundamentals: Hands-on Practice (Course 16),3
77,Fundamentals: Mini Project (Course 16),4
78,Intermediate Concepts: Overview (Course 16),1
78,Intermediate Concepts: Core Concepts (Course 16),2
78,Intermediate Concepts: Hands-on Practice (Course 16),3
78,Intermediate Concepts: Mini Project (Course 16),4
79,Advanced Concepts: Overview (Course 16),1
79,Advanced Concepts: Core Concepts (Course 16),2
79,Advanced Concepts: Hands-on Practice (Course 16),3
79,Advanced Concepts: Mini Project (Course 16),4
80,Projects & Assessment: Overview (Course 16),1
80,Projects & Assessment: Core Concepts (Course 16),2
80,Projects & Assessment: Hands-on Practice (Course 16),3
80,Projects & Assessment: Mini Project (Course 16),4
81,Introduction: Overview (Course 17),1
81,Introduction: Core Concepts (Course 17),2
81,Introduction: Hands-on Practice (Course 17),3
81,Introduction: Mini Project (Course 17),4
82,Fundamentals: Overview (Course 17),1
82,Fundamentals: Core Concepts (Course 17),2
82,Fundamentals: Hands-on Practice (Course 17),3
82,Fundamentals: Mini Project (Course 17),4
83,Intermediate Concepts: Overview (Course 17),1
83,Intermediate Concepts: Core Concepts (Course 17),2
83,Intermediate Concepts: Hands-on Practice (Course 17),3
83,Intermediate Concepts: Mini Project (Course 17),4
84,Advanced Concepts: Overview (Course 17),1
84,Advanced Concepts: Core Concepts (Course 17),2
84,Advanced Concepts: Hands-on Practice (Course 17),3
84,Advanced Concepts: Mini Project (Course 17),4
85,Projects & Assessment: Overview (Course 17),1
85,Projects & Assessment: Core Concepts (Course 17),2
85,Projects & Assessment: Hands-on Practice (Course 17),3
85,Projects & Assessment: Mini Project (Course 17),4
86,Introduction: Overview (Course 18),1
86,Introduction: Core Concepts (Course 18),2
86,Introduction: Hands-on Practice (Course 18),3
86,Introduction: Mini Project (Course 18),4
87,Fundamentals: Overview (Course 18),1
87,Fundamentals: Core Concepts (Course 18),2
87,Fundamentals: Hands-on Practice (Course 18),3
87,Fundamentals: Mini Project (Course 18),4
88,Intermediate Concepts: Overview (Course 18),1
88,Intermediate Concepts: Core Concepts (Course 18),2
88,Intermediate Concepts: Hands-on Practice (Course 18),3
88,Intermediate Concepts: Mini Project (Course 18),4
89,Advanced Concepts: Overview (Course 18),1
89,Advanced Concepts: Core Concepts (Course 18),2
89,Advanced Concepts: Hands-on Practice (Course 18),3
89,Advanced Concepts: Mini Project (Course 18),4
90,Projects & Assessment: Overview (Course 18),1
90,Projects & Assessment: Core Concepts (Course 18),2
90,Projects & Assessment: Hands-on Practice (Course 18),3
90,Projects & Assessment: Mini Project (Course 18),4
91,Introduction: Overview (Course 19),1
91,Introduction: Core Concepts (Course 19),2
91,Introduction: Hands-on Practice (Course 19),3
91,Introduction: Mini Project (Course 19),4
92,Fundamentals: Overview (Course 19),1
92,Fundamentals: Core Concepts (Course 19),2
92,Fundamentals: Hands-on Practice (Course 19),3
92,Fundamentals: Mini Project (Course 19),4
93,Intermediate Concepts: Overview (Course 19),1
93,Intermediate Concepts: Core Concepts (Course 19),2
93,Intermediate Concepts: Hands-on Practice (Course 19),3
93,Intermediate Concepts: Mini Project (Course 19),4
94,Advanced Concepts: Overview (Course 19),1
94,Advanced Concepts: Core Concepts (Course 19),2
94,Advanced Concepts: Hands-on Practice (Course 19),3
94,Advanced Concepts: Mini Project (Course 19),4
95,Projects & Assessment: Overview (Course 19),1
95,Projects & Assessment: Core Concepts (Course 19),2
95,Projects & Assessment: Hands-on Practice (Course 19),3
95,Projects & Assessment: Mini Project (Course 19),4
96,Introduction: Overview (Course 20),1
96,Introduction: Core Concepts (Course 20),2
96,Introduction: Hands-on Practice (Course 20),3
96,Introduction: Mini Project (Course 20),4
97,Fundamentals: Overview (Course 20),1
97,Fundamentals: Core Concepts (Course 20),2
97,Fundamentals: Hands-on Practice (Course 20),3
97,Fundamentals: Mini Project (Course 20),4
98,Intermediate Concepts: Overview (Course 20),1
98,Intermediate Concepts: Core Concepts (Course 20),2
98,Intermediate Concepts: Hands-on Practice (Course 20),3
98,Intermediate Concepts: Mini Project (Course 20),4
99,Advanced Concepts: Overview (Course 20),1
99,Advanced Concepts: Core Concepts (Course 20),2
99,Advanced Concepts: Hands-on Practice (Course 20),3
99,Advanced Concepts: Mini Project (Course 20),4
100,Projects & Assessment: Overview (Course 20),1
100,Projects & Assessment: Core Concepts (Course 20),2
100,Projects & Assessment: Hands-on Practice (Course 20),3
100,Projects & Assessment: Mini Project (Course 20),4
101,Introduction: Overview (Course 21),1
101,Introduction: Core Concepts (Course 21),2
101,Introduction: Hands-on Practice (Course 21),3
101,Introduction: Mini Project (Course 21),4
102,Fundamentals: Overview (Course 21),1
102,Fundamentals: Core Concepts (Course 21),2
102,Fundamentals: Hands-on Practice (Course 21),3
102,Fundamentals: Mini Project (Course 21),4
103,Intermediate Concepts: Overview (Course 21),1
103,Intermediate Concepts: Core Concepts (Course 21),2
103,Intermediate Concepts: Hands-on Practice (Course 21),3
103,Intermediate Concepts: Mini Project (Course 21),4
104,Advanced Concepts: Overview (Course 21),1
104,Advanced Concepts: Core Concepts (Course 21),2
104,Advanced Concepts: Hands-on Practice (Course 21),3
104,Advanced Concepts: Mini Project (Course 21),4
105,Projects & Assessment: Overview (Course 21),1
105,Projects & Assessment: Core Concepts (Course 21),2
105,Projects & Assessment: Hands-on Practice (Course 21),3
105,Projects & Assessment: Mini Project (Course 21),4
106,Introduction: Overview (Course 22),1
106,Introduction: Core Concepts (Course 22),2
106,Introduction: Hands-on Practice (Course 22),3
106,Introduction: Mini Project (Course 22),4
107,Fundamentals: Overview (Course 22),1
107,Fundamentals: Core Concepts (Course 22),2
107,Fundamentals: Hands-on Practice (Course 22),3
107,Fundamentals: Mini Project (Course 22),4
108,Intermediate Concepts: Overview (Course 22),1
108,Intermediate Concepts: Core Concepts (Course 22),2
108,Intermediate Concepts: Hands-on Practice (Course 22),3
108,Intermediate Concepts: Mini Project (Course 22),4
109,Advanced Concepts: Overview (Course 22),1
109,Advanced Concepts: Core Concepts (Course 22),2
109,Advanced Concepts: Hands-on Practice (Course 22),3
109,Advanced Concepts: Mini Project (Course 22),4
110,Projects & Assessment: Overview (Course 22),1
110,Projects & Assessment: Core Concepts (Course 22),2
110,Projects & Assessment: Hands-on Practice (Course 22),3
110,Projects & Assessment: Mini Project (Course 22),4
111,Introduction: Overview (Course 23),1
111,Introduction: Core Concepts (Course 23),2
111,Introduction: Hands-on Practice (Course 23),3
111,Introduction: Mini Project (Course 23),4
112,Fundamentals: Overview (Course 23),1
112,Fundamentals: Core Concepts (Course 23),2
112,Fundamentals: Hands-on Practice (Course 23),3
112,Fundamentals: Mini Project (Course 23),4
113,Intermediate Concepts: Overview (Course 23),1
113,Intermediate Concepts: Core Concepts (Course 23),2
113,Intermediate Concepts: Hands-on Practice (Course 23),3
113,Intermediate Concepts: Mini Project (Course 23),4
114,Advanced Concepts: Overview (Course 23),1
114,Advanced Concepts: Core Concepts (Course 23),2
114,Advanced Concepts: Hands-on Practice (Course 23),3
114,Advanced Concepts: Mini Project (Course 23),4
115,Projects & Assessment: Overview (Course 23),1
115,Projects & Assessment: Core Concepts (Course 23),2
115,Projects & Assessment: Hands-on Practice (Course 23),3
115,Projects & Assessment: Mini Project (Course 23),4
116,Introduction: Overview (Course 24),1
116,Introduction: Core Concepts (Course 24),2
116,Introduction: Hands-on Practice (Course 24),3
116,Introduction: Mini Project (Course 24),4
117,Fundamentals: Overview (Course 24),1
117,Fundamentals: Core Concepts (Course 24),2
117,Fundamentals: Hands-on Practice (Course 24),3
117,Fundamentals: Mini Project (Course 24),4
118,Intermediate Concepts: Overview (Course 24),1
118,Intermediate Concepts: Core Concepts (Course 24),2
118,Intermediate Concepts: Hands-on Practice (Course 24),3
118,Intermediate Concepts: Mini Project (Course 24),4
119,Advanced Concepts: Overview (Course 24),1
119,Advanced Concepts: Core Concepts (Course 24),2
119,Advanced Concepts: Hands-on Practice (Course 24),3
119,Advanced Concepts: Mini Project (Course 24),4
120,Projects & Assessment: Overview (Course 24),1
120,Projects & Assessment: Core Concepts (Course 24),2
120,Projects & Assessment: Hands-on Practice (Course 24),3
120,Projects & Assessment: Mini Project (Course 24),4
121,Introduction: Overview (Course 25),1
121,Introduction: Core Concepts (Course 25),2
121,Introduction: Hands-on Practice (Course 25),3
121,Introduction: Mini Project (Course 25),4
122,Fundamentals: Overview (Course 25),1
122,Fundamentals: Core Concepts (Course 25),2
122,Fundamentals: Hands-on Practice (Course 25),3
122,Fundamentals: Mini Project (Course 25),4
123,Intermediate Concepts: Overview (Course 25),1
123,Intermediate Concepts: Core Concepts (Course 25),2
123,Intermediate Concepts: Hands-on Practice (Course 25),3
123,Intermediate Concepts: Mini Project (Course 25),4
124,Advanced Concepts: Overview (Course 25),1
124,Advanced Concepts: Core Concepts (Course 25),2
124,Advanced Concepts: Hands-on Practice (Course 25),3
124,Advanced Concepts: Mini Project (Course 25),4
125,Projects & Assessment: Overview (Course 25),1
125,Projects & Assessment: Core Concepts (Course 25),2
125,Projects & Assessment: Hands-on Practice (Course 25),3
125,Projects & Assessment: Mini Project (Course 25),4
126,Introduction: Overview (Course 26),1
126,Introduction: Core Concepts (Course 26),2
126,Introduction: Hands-on Practice (Course 26),3
126,Introduction: Mini Project (Course 26),4
127,Fundamentals: Overview (Course 26),1
127,Fundamentals: Core Concepts (Course 26),2
127,Fundamentals: Hands-on Practice (Course 26),3
127,Fundamentals: Mini Project (Course 26),4
128,Intermediate Concepts: Overview (Course 26),1
128,Intermediate Concepts: Core Concepts (Course 26),2
128,Intermediate Concepts: Hands-on Practice (Course 26),3
128,Intermediate Concepts: Mini Project (Course 26),4
129,Advanced Concepts: Overview (Course 26),1
129,Advanced Concepts: Core Concepts (Course 26),2
129,Advanced Concepts: Hands-on Practice (Course 26),3
129,Advanced Concepts: Mini Project (Course 26),4
130,Projects & Assessment: Overview (Course 26),1
130,Projects & Assessment: Core Concepts (Course 26),2
130,Projects & Assessment: Hands-on Practice (Course 26),3
130,Projects & Assessment: Mini Project (Course 26),4
131,Introduction: Overview (Course 27),1
131,Introduction: Core Concepts (Course 27),2
131,Introduction: Hands-on Practice (Course 27),3
131,Introduction: Mini Project (Course 27),4
132,Fundamentals: Overview (Course 27),1
132,Fundamentals: Core Concepts (Course 27),2
132,Fundamentals: Hands-on Practice (Course 27),3
132,Fundamentals: Mini Project (Course 27),4
133,Intermediate Concepts: Overview (Course 27),1
133,Intermediate Concepts: Core Concepts (Course 27),2
133,Intermediate Concepts: Hands-on Practice (Course 27),3
133,Intermediate Concepts: Mini Project (Course 27),4
134,Advanced Concepts: Overview (Course 27),1
134,Advanced Concepts: Core Concepts (Course 27),2
134,Advanced Concepts: Hands-on Practice (Course 27),3
134,Advanced Concepts: Mini Project (Course 27),4
135,Projects & Assessment: Overview (Course 27),1
135,Projects & Assessment: Core Concepts (Course 27),2
135,Projects & Assessment: Hands-on Practice (Course 27),3
135,Projects & Assessment: Mini Project (Course 27),4
136,Introduction: Overview (Course 28),1
136,Introduction: Core Concepts (Course 28),2
136,Introduction: Hands-on Practice (Course 28),3
136,Introduction: Mini Project (Course 28),4
137,Fundamentals: Overview (Course 28),1
137,Fundamentals: Core Concepts (Course 28),2
137,Fundamentals: Hands-on Practice (Course 28),3
137,Fundamentals: Mini Project (Course 28),4
138,Intermediate Concepts: Overview (Course 28),1
138,Intermediate Concepts: Core Concepts (Course 28),2
138,Intermediate Concepts: Hands-on Practice (Course 28),3
138,Intermediate Concepts: Mini Project (Course 28),4
139,Advanced Concepts: Overview (Course 28),1
139,Advanced Concepts: Core Concepts (Course 28),2
139,Advanced Concepts: Hands-on Practice (Course 28),3
139,Advanced Concepts: Mini Project (Course 28),4
140,Projects & Assessment: Overview (Course 28),1
140,Projects & Assessment: Core Concepts (Course 28),2
140,Projects & Assessment: Hands-on Practice (Course 28),3
140,Projects & Assessment: Mini Project (Course 28),4
141,Introduction: Overview (Course 29),1
141,Introduction: Core Concepts (Course 29),2
141,Introduction: Hands-on Practice (Course 29),3
141,Introduction: Mini Project (Course 29),4
142,Fundamentals: Overview (Course 29),1
142,Fundamentals: Core Concepts (Course 29),2
142,Fundamentals: Hands-on Practice (Course 29),3
142,Fundamentals: Mini Project (Course 29),4
143,Intermediate Concepts: Overview (Course 29),1
143,Intermediate Concepts: Core Concepts (Course 29),2
143,Intermediate Concepts: Hands-on Practice (Course 29),3
143,Intermediate Concepts: Mini Project (Course 29),4
144,Advanced Concepts: Overview (Course 29),1
144,Advanced Concepts: Core Concepts (Course 29),2
144,Advanced Concepts: Hands-on Practice (Course 29),3
144,Advanced Concepts: Mini Project (Course 29),4
145,Projects & Assessment: Overview (Course 29),1
145,Projects & Assessment: Core Concepts (Course 29),2
145,Projects & Assessment: Hands-on Practice (Course 29),3
145,Projects & Assessment: Mini Project (Course 29),4
146,Introduction: Overview (Course 30),1
146,Introduction: Core Concepts (Course 30),2
146,Introduction: Hands-on Practice (Course 30),3
146,Introduction: Mini Project (Course 30),4
147,Fundamentals: Overview (Course 30),1
147,Fundamentals: Core Concepts (Course 30),2
147,Fundamentals: Hands-on Practice (Course 30),3
147,Fundamentals: Mini Project (Course 30),4
148,Intermediate Concepts: Overview (Course 30),1
148,Intermediate Concepts: Core Concepts (Course 30),2
148,Intermediate Concepts: Hands-on Practice (Course 30),3
148,Intermediate Concepts: Mini Project (Course 30),4
149,Advanced Concepts: Overview (Course 30),1
149,Advanced Concepts: Core Concepts (Course 30),2
